morpheme,variant,nb,type,transitivity,nature,number,compositionRoot,plural,intransSuffix,transSuffix,antipassive,engMean,freMean,source,dialect,cf,END
siqiniq,,1,v,i,,,,,,,,to shine - said of the sun,"briller, en parlant du soleil",,,,.
siqiniq,,1,n,,,,,,,,,the sun,le soleil,,,,.
siqiq,,1,v,t,,,,,,,si/1vv,to /splash s.o.,/éclabousser qqn,,,,.
siqqit,,1,v,i,,,,,,,,"to cross over from land to sea, from solid ice to moving ice, from less to more dangerous terrain","passer d'un endroit à un autre: de la terre à la mer, de la glace solide à la glace mouvante, d'un terrain moin dangereux à un terrain plus dangereux",,,,.
siqquaq,,1,n,,,,,,,,,hind flipper of walrus,nageoire arrière du morse,,,,.
siqquq,,2,v,i,,,,,,,,to make a cracking or exploding sound,faire un bruit de craquement ou d'explosion,,,,.
siqquq,,1,v,t,,,,,,,si/1vv,to /shoot s.t. with a gun or rifle,[T]tirer sur qqch. avec un fusil ou une carabine [P]être tiré dessus avec un fusil ou une carabine [R] se tirer avec un fusil ou une carabine,,,,.
siqquq,,1,n,,,,,,,,,hind flipper of seal or square-flipper,nageoire arrière du phoque,,,,.
siqumik,,1,v,t,res,,,,,,si/1vv,[-R]to /shatter s.t. [R]to break or shatter,[-R]/briser qqch. en miettes [R]se briser en miettes,,,,.
siqupsiraq,,1,n,,,,,,,,,foetus of bird,,,,,
siquptir,,1,v,t,res,,,,,,i/1vv,"to /shatter, /break s.t. in fragments",[-R]/fracasser qqch. [R]voler en éclats,,,,.
siriaq,,1,v,i,a,,,,,,,to be partly dry or getting dry,être partiellement sec ou être en train de sécher,,,,.
sirlak,,1,a,,,,,,,,,a little bit,un peu,,,,.
sirliq,,1,v,i,a,,,,,,,to be dry or finished drying - said of a deerskin,"être sec ou finir de sécher, en parlant d'une peau de cerf",,,,.
sirliq,,1,n,,,,,,,,,noise (or noise similar to that) made in softening deerskin,bruit fait en amolissant une peau de cerf (ou bruit qui y ressemble),,,,.
sirluaq,,1,n,,,,,,,,,food depot,dépôt de nourriture,,,,.
sirmiq,,1,v,t,res,,,,,,si/1vv,[-R]to /give s.t. an ice coating by hand [R]to ice up,[-R]/recouvrir qqch. d'une couche de glace à la main [R]se couvrir de glace,,,,.
sirmiq,,1,n,,,,,,,,,(1) ice coating (2) glacier,(1) couche de glace (2) glacier,,,,.
sirpik,,1,n,,,,,,,,,sand in the corner of the eye after sleep,grains dans le coin de l'oeil après avoir dormi,,,,.
sisangiq,,1,v,i,a,,,,,,,to just start to feel warm - said of liquid after being put to heat,"commencer à tiédir, en parlant d'un liquide qu'on vient de mettre à chauffer",,,,.
sitak,,1,v,i,a,,,,,,,"to be stumped, stucked while playing solitaire or patience","être bloqué, alors qu'on joue au solitaire ou à la patience",,,,.
sitamat,,1,n,,nb,p,sitama,,,,,four [WCHB,,,,,
sitartaq,,1,n,,,,,,,,,hardwood,bois dur,,,,
siti,,1,v,i,a,,,,,,,to be hard - said of a physical substance,"être dur, en parlant d'une substance physique",,,,.
siti,,1,n,,,,,,,,,animal hole,,,,,
sitsiq,,1,v,i,a,,,,,,,to be saturated,être saturé,,,,.
situ,,1,v,i,,,,,,,,to slide down,,,,,
situ,,2,v,i,,,,,,,,to stretch one's legs out straight,s'étirer les jambes,,,,.
siuk,,1,n,,ana,,,,,,,length of the foot,,,,,
siuraq,,1,n,,,,,,,,,sand,sable,,,,.
siut,,1,n,,ana,,,,,,,ear,oreille,,,,.
siva,,1,n,,,,,,,,,biscuit [N. Baffin],biscuit [Terre de Baffin nord],,,,.
sivaniq,,1,v,i,,,,,,,,"to ring, to chime, to toll - said of a bell, a gong, etc.","sonner, carillonner, en parlant d'une cloche, d'un gong, etc.",,,,.
sivik,,1,n,,,,,,,,,distance between two points,distance entre deux points,,,,.
sivinga,,1,v,i,a,,,,,,,to be gradually sloped or slanted,être graduellement incliné ou en pente,,,,.
sivu,,1,n,,,,,,,,,(1) the front or fore-part of a moving object (2) the future of s.t.,"(1) le devant, la partie avant d'un objet en mouvement (2) l'avenir de qqch.",,,,.
su,,1,v,i,,,,,,,,what (to be what) ?,être quoi ?,,,,.
suaq,,1,v,t,,,,,,,ri/1vv,to /strike s.o. with the flat of the hand,/frapper qqn avec le plat de la main,,,,.
sublu,,1,n,,,,,,,,,"(1) inner passage (2) strait (3) nasal, aural passage (4) bore of a rifle barrel (5) interior pipes or ducts","(1) passage intérieur (2) détroit (3) conduit nasal, auriculaire (4) calibre du canon d'une carabine (5) tuyau ou conduit intérieur",,,,.
sugaluk,,1,v,i,a,,,,,,,"to be helpless, dependent","être sans ressource, dépendant",,,,.
sugiaq,,1,v,i,,,,,,nil,,(1) to finally fight back at s.o. (2) to do the final shot at a game animal,(1) finalement riposter à qqn (2) achever un gibier,,,,.
sugiut,,1,n,,,,,,,,,implement of the hunt or chase,équipement pour la chasse,,,,.
sui,,1,v,i,e,,,,ksaq/1vv,gi/4vv,,to be displeased or dissatisfied with s.t.,,,,,
suinnaq,,1,e,,,,,,,,,"to be nothing, too small to consider",n'être rien,,,,
suka,,1,v,i,a,,,,,,,"to move fast, swiftly",bouger rapidement,,,,.
sukak,,1,v,i,a,,,,,,,"to be tight, taut, rigid","être serré, tendu, rigide",,,,.
sukak,,2,v,t,res,,,,,,si/1vv i/1vv,[-R]to /tighten s.t.,,,,,
sukaq,,1,n,,,,,,,,,(1) supporting pole or pillar (2) sugar,"(1) poteau de support, pilier (2) sucre",,,,.
sukit,,1,v,i,,,,,,,,to cut oneself on the sole of one's foot,se couper la plante du pied,,,,.
sukku,,1,n,,,,,,,,,someone poor,une personne pauvre,,,,.
sukuiq,,1,v,t,,,,,,,si/1vv,[-R]to /understand s.o.,[-R]/comprendre qqn,,,suqquiq/1v,.
sukuttiq,,1,pr,,,,,,,,,cover-all interrogative pronoun for unknown thing,pronom interrogatif fourre-tout pour quelque chose d'inconnu,,,,.
sukuuq,,1,v,i,,,,,,nil,,"to scold, reprimand (trans.: s.o.)",,,,,
suli,,1,v,i,,,,,,nil,,to speak truthfully,,,,,
suli,,1,a,,,,,,,,,yet,,,,,
sulubvaut,,1,n,,,,,,,,,small outward-curved portion of caribou's horn,petite partie externe recourbée du bois de caribou,,,,.
suluk,,1,n,,,,,,,,,(1) wing (2) arrow feathering,(1) aile (2) plume de flèche,,,,.
sulukpaugaq,,1,n,,zoo,,,,,,,arctic grayling,ombre arctique,,,,.
suluksuk,,1,v,i,,,,,,,,to howl about the house - said of the wind,hurler autour de la maison (le vent),,,,.
suluraq,,1,n,,,,,,,,,lash of whip,lanière de fouet,,,,.
sunagag,,1,n,,,,,,,,,bullet,,,,,
sungaq,,1,n,,ana,,,,,,,gall bladder,vésicule biliaire,,,,.
sungiut,sungiuti,1,v,i,a,,,,,,,"to be familiar, at ease with something","être familier, à l'aise avec qqch.",,,,.
sunngujaaq,,1,v,i,a,,,,,,,to be bruised,être contusionné,,,,.
supi,supu,1,v,t,res,,,,,,i/1vv si/1vv,[-R](1) to /blow s.t. away or out,,,,,
suqqaq,,1,n,,,,,,,,,whale baleen,fanon de baleine,,,,.
suqu,,1,v,i,,,,,,,,"to change one's behaviour, attitude, appearance","changer de comportement, d'attitude, d'apparence",,,,.
suraq,surak,1,v,t,,,,,,,i/1vv si/1vv,to /destroy s.t. irreparably,/détruire qqch. irrémédiablement,,,,.
surjuk,,1,v,i,,,,,,nil,,to approach (trans.: s.o.) with anger or threatengingly,approcher (trans.: qqn) avec colère ou de façon menaçante,,,,.
surluk,,1,n,,ana,,,,,,,nostril,narine,,,,.
surpalak,,1,n,,,,,,,,,sound of gas explosion in a motor,son de l'explosion des gaz dans un moteur,,,,.
surujuk,,1,n,,,,,,,,,rain [N. Baffin],pluie [Terre de Baffin nord],,,,.
surusiq,,1,n,,,,,,,,,youngster [N. Baffin],un jeune [Terre de Baffin nord],,,,.
suugami,,1,e,,,,,,,,,"disclaimer: ""I don't know! (I don't want to say)"" [Pang.",,,,,
suuq,,1,a,,,,,,,,,why?,pourquoi?,,,,.
suurlu,,1,a,,,,,,,,,like,,,,,
suvak,,1,n,,,,,,,,,fish roe,,,,,
suvalikiaq,,1,v,i,e,,,,gusuk/1vv,gi/4vv,,"to be considered lightly, a waste of time or energy","être considéré légèrement, comme une perte de temps ou d'énergie",,,,.
suvalikiaq,,1,e,,,,,,,,,"exclamation of futility: ""It's no use!"" ""Why bother!""",exclamation de futilité: 'Ça ne sert à rien!',,,,.
suvaunniit,,1,e,,,,,,,,,"exclamation of acceptance: ""It could be better, but never mind!"" [Padl.]","exclamation d'acceptation: ""Ça pourrait être mieux, mais ça va aller!"" [Padl.]",,,,.
suviq,,1,v,i,,,,,,nil,,to penetrate s.t. - said of the wind or draught,,,,,
taak,,1,v,i,,,,,,nil,,to remove an outer garment [Natt.] (trans.: a garment),enlever un vêtement extérieur [Natt.],,,,.
taaq,,1,v,i,a,,,,,,,to be dark,,,,,
taaq,,1,n,,,,,,,,,darkness,noirceur,,,,
tablu,,1,n,,ana,,,,,,,chin,menton,,,,.
taga-taga,,1,a,,,,,,,,,now [ECHB,,,,,
taggiuk,,1,v,i,,,,,,,,to sneeze,éternuer,,,,.
taggiuk,,1,n,,,,,,,,,worm infesting nostrils of caribou,ver qui infeste les narines des caribous,,,,.
taggut,,1,n,,,,,,,,,harpoon-line catch [N. Baffin],pièce d'ivoire d'un harpon pour empêcher la main du chasseur de glisser lorsque le gibier est touché [Terre de Baffin nord],,,,.
tagguuk,,1,e,,,,,,,,,expression when one realizes he has been cheated or joshed,expression lorsqu'on réalise qu'on a été trompé,,,,.
tagliq,,1,v,i,,,,,,nil,,"to convey, carry, transport s.t. [Natt.]","transporter, porter qqch. [Natt.]",,,,.
tai,,1,v,t,,,,,,,si/1vv,to /call s.o. or /refer to s.o. by such a name,/appeler ou /désigner qqn par tel nom,,,,.
taiguq,,1,v,i,,,,,,nil,,to read or peruse something [N. Baffin],lire (trans.: qqch.) [Terre de Baffin nord],,,,.
taima,,1,a,,,,,,,,,(1) so,,,,,
taimaak,,1,a,,,,,,,,,"like that, as indicated or described",comme ceci,,,,
taimanna,,1,a,,,,,,,,,like that,,,,,
tajaq,,1,n,,,,,,,,,(1) wrist thong (2) wrist band or strap attached to handle of snow-knife,(1) lanière de poignet (2) lanière ou courroie pour le poignet attachée au manche d'un couteau à neige,,,,.
tajarnaq,,1,n,,,,,,,,,severed walrus fore-flipper,nageoire avant de morse qui a été coupée,,,,.
tajarniq,,1,n,,ana,,,,,,,forearm,avant-bras,,,,.
tajjuit,,1,v,i,,,,,,,,(1) to tread the sides of one's boots over or crooked (2) to cut or break his skin his skin with a dull instrument,(1) écraser les côtés de ses bottes en marchant,,,,
taki,,1,v,i,a,,,,,,,to be long,,,,,
takpik,,1,v,i,,,,,,,,"to see distances well, clearly","bien voir les distances, clairement",,,,.
taksiq,,1,v,i,a,,,,,,,"to be foggy, misty - said of the weather",être brumeux (le temps),,,,.
taksiq,,1,n,,,,,,,,,fog,,,,,
taktuk,,1,n,,,,,,,,,fog,,,,,
taku,,1,v,i,,,,,,nil,,to see (trans.: s.t.),voir (trans.: qqch.),,,,.
talik,,1,v,t,,,,,,,si/1vv,to /hide or /mask s.t. from view,/cacher qqch. de la vue,,,,.
taliq,,1,n,,ana,,,,,,,arm,bras,,,,.
talirpik,,1,n,,,,,,,,,"(1) the right side: right hand, arm, etc. (2) right-handed person","(1) le côté droit d'une partie du corps: la main droite, le bras droit, etc. (2) une personne droitière",,,,.
tallik,,1,v,t,,,,,,,i/1vv si/1vv,to /scratch or /scrape s.o. accidentally,/égratigner ou /érafler qqch. accidentellement,,,,.
tallima,,1,n,,nb,,,,,,,numeral root: five,,,,,
talu,,1,v,t,,,,,,,i/1vv,to /hide or /block s.o. off from view,/cacher ou /bloquer qqn de la vue,,,,.
tamarmik,,1,pr,,,,,,,,,all,,,,,
tammaq,,1,v,i,a,,,,,,,(1) to have gone lost (2) to have made a mistake,,,,,
tammaq,,1,n,,,,,,,,,(1) wrong turning (2) mistake,,,,,
tamua,,1,v,i,,,,,,nil,,to chew or masticate (trans.: s.t.),"mâcher, mastiquer (trans.:  qqch.)",,,,.
tangiq,,1,n,,,,,,,,,indissoluble remains of blubber chunks,restes indissolubles de morceaux de blanc de baleine,,,,.
tangmaaq,,1,v,i,,,,,,,,to stop to camp for the night,arrêter camper pour la nuit,,,,.
tanigiikkut,,1,n,,,,,,,,,mud adhering to the sides of the sled runners,boue adhérant aux côtés des patins de traîneau,,,,.
tapa,,1,v,i,a,,,,,,,to be persistent,être persistent,,,,.
tapaaki,,1,n,,,,,,,,,tobacco [ECHB],tabac [côte est de la Baie d'Hudson],,,,.
tapinguq,,1,v,i,a,,,,,,,to have a hole in one's boot [Natt.],avoir un trou dans sa botte [Natt.],,,,.
tapiq,,1,n,,,,,,,,,a partner,un partenaire,,,,.
tapsi,,1,v,t,,,,,,,i/1vv,[T]to put his outer belt or sash to s.o. [P]to be put on one's outer belt or sash by s.o. [R]to put on one's own outer belt or sash,[T]mettre sa ceinture à qqn[P]se faire mettre sa ceinture[R]mettre sa ceinture,,,,.
tapsi,,1,n,,,,,,,,,outer belt or sash,ceinture ou écharpe externe,,,,.
tapsik,,1,v,t,,,,,,,si/1vv i/1vv,[-R]to /touch s.t. or /grope at s.t. in the dark,"[-R]/toucher ou /tripoter, /tâter qqch. dans l'obscurité",,,,.
taqa,,1,v,i,a,,,,,,,"to be tired, fatigued",être fatigué,,,,.
taqak,,1,n,,ana,,,,,,,blood vessel,vaisseau sanguin,,,,.
taqqiq,,1,n,,,,,,,,,(1) moon (2) month,(1) lune (2) mois,,,,.
taqqirsuq,,1,v,i,,,,,,nil,,to tend the oil lamp,s'occuper de la lampe à huile,,,,.
taquaq,,1,v,i,a,,,,,,,to be provisioned for one's journey,être approvisionné pour un voyage,,,,.
taquaq,,1,n,,,,,,,,,grub or food for the trail,nourriture pour le voyage,,,,.
tariuq,,1,n,,,,,,,,,(1) sea,,,,,
tarjaaraq,,1,v,i,,,,,,,,to pound and break upon the shore or rocks - said of the sea or surf,"battre et se briser contre le rivage ou les rochers (la mer, le ressac)",,,,.
tarjaq,,1,v,i,,,,,,,,to walk up into the land to hunt caribou,marcher à l'intérieur des terres pour chasser le caribou,,,,.
tarmiluqi,,1,v,i,,,,,,,,to skip or dip on water or land before hitting one's mark - said of a bullet or missile,"faire un bond sur la surface de l'eau ou du sol avant de frapper sa cible (un projectile, une balle)",,,,.
tarniq,,1,n,,,,,,,,,the soul,l'âme,,,,.
tarpak,,1,n,,ana,,,,,,,(1) bulge or flare of the nostril (2) flare of garment,(1) renflement de la narine (2) renflement d'un vêtement,,,,.
tarpaq,,1,v,i,,,,,,,,to dilate one's nostrils,,,,,
tarraq,,1,n,,,,,,,,,(1) shadow,,,,,
tarrumaaq,,1,v,i,a,,,,,,,to be without one's outer garment,être sans ses vêtements extérieurs,,,,.
tarsaq,,1,v,i,a,,,,,,,(1) to be figured or patterned (2) to be coloured,(1) être représenté ou modélisé (2) être coloré,,,,.
tarsaq,,1,n,,,,,,,,,(1) design,,,,,
tartitaq,,1,v,i,a,,,,,,,to have dark moving patches playing over oneself - said of the sea,avoir des plaques foncées qui se déplacent à sa surface (la mer),,,,.
tartu,,1,n,,ana,,,,,,,kidney,rein,,,,.
tasikkuaq,,1,v,i,,,,,,,,(1) to look for seal-holes with dogs on leash (2) to lead dogs by the leash,(1) chercher des trous de phoques avec des chiens en laisse (2) conduire des chiens en laisse,,,,.
tasikkuaq,,1,n,,,,,,,,,"dog, expert at smelling out seal-holes under the snow","chien, expert à sentir les trous de phoque sous la neige",,,,.
tasiq,,1,n,,,,,,,,,lake,lac,,,,.
tasit,,1,v,t,res,,,,,,si/1vv,to /stretch s.t.,/étirer qqch.,,,,.
tasiuq,,1,v,i,,,,,,nil,,"to take, to lead s.o. by the hand or the arm","prendre, diriger (trans.: qqn) par la main ou le bras",,,,.
tatat,,2,v,i,a,,,,,,,to be full,être plein,,,,.
tatat,,1,v,t,res,,,,,,si/1vv,to /fill s.t. up,/emplir qqch.,,,,.
tati,,1,v,t,,,,,,,si/1vv,[-R]to /push or /shove s.t.,/pousser qqch.,,,,.
tatiggaq,,1,n,,zoo,,,,,,,sandhill crane,grue du Canada,,,,.
tatti,,1,n,,,,,,,,,befriender,,,,,
tattui,,1,v,i,a,,,,,,,to be constipated,être constipé,,,,.
tattuq,,1,v,t,res,,,,,,si/1vv,"to /stick, /wedge, /jam s.t. or s.o.","/coller, /coincer, /bloquer qqch. ou qqn",,,,.
taursi,,1,v,i,,,,,,,,to return in payment the same thing as borrowed,retourner en paiement la même chose qu'on a emprunté,,,,.
tautuk,,1,v,i,,,,,,nil,,to look or gaze (trans.: at something),regarder (trans.: qqch.),,,,.
tavvaaki,,1,v,i,,,,,,,,to smoke or chew tobacco,fumer ou mâcher du tabac,,,,.
tavvaaki,,1,n,,,,,,,,,tobacco [N. Baffin],tabac [Terre de Baffin nord],,,,.
tibjaq,,1,n,,,,,,,,,(1) flotsam and jetsam,,,,,
tibli,,1,n,,,,,,,,,food particle adhering to the sides of the mouth after eating,particules de nourriture aux coins de la bouche après avoir mangé,,,,.
tiblirtirut,,1,n,,,,,,,,,old-fashioned carrot of tobacco,carotte de tabac à l'ancienne mode,,,,.
tibvuaq,,1,v,t,,,,,,,si/1vv,[-R]to /spray or /spatter s.t. with liquid,"[-R]/vaporiser, /asperger, /éclabousser qqch. avec un liquide",,,,.
tigaq,,1,v,t,,,,,,,si/1vv,to /lash or /belabour s.t. with a short whip,"/fouetter, /rouer de coups qqn avec un court fouet",,,,.
tiggak,,1,n,,zoo,,,,,,,male (bull) jar or harbour seal,"phoque, phoque commun mâle",,,,.
tigik,,1,v,i,a,,,,,,,to have hardened or frozen,avoir durci ou gelé,,,,.
tigjuq,,1,v,i,a,,,,,,,to have evaporated,s'être évaporé,,,,.
tiglik,,1,v,i,,,,,,nil,,to steal (trans.: something),voler (trans.: qqch.),,,,.
tigliq,,1,v,i,,,,,,,,to beat - said of the heart,battre (le coeur),,,,.
tigluk,,1,v,t,,,,,,,si/1vv,to /hit or /punch s.t. or s.o. with a clenched fist,/frapper ou /cogner qqn ou qqch. avec le poing fermé,,,,.
tigu,tiguk,1,v,t,,,,,,,si/1vv,to /grip or /grasp s.t.,"/agripper, /saisir, /empoigner qqch.",,,,.
tiguaq,,1,n,,,,,,,,,adopted child,enfant adopté,,,,.
tii,,1,n,,,,,,,,,tea,thé,,,,.
tija,tijak,1,v,i,,,,,,nil,,to cut up meat or fish for drying,couper de la viande ou du poisson pour le faire sécher,,,,.
tikiq,,1,n,,ana,,,,,,,(1) forefinger (2) thimble,,,,,
tikit,,1,v,i,,,,,,nil,,to arrive (trans.: at s.t. =  to reach s.t.),"arriver (trans.: à un endroit, i.e. atteindre qqch.)",,,,.
tikpik,,1,n,,,,,,,,,boat rib,membrure d'un bateau,,,,.
tiktit,,1,n,,ana,p,,,,,,dirt or wax accumulation in the ears,accumulation de saleté ou de cire dans les oreilles,,,,.
tili,,1,v,t,,,,,,,si/1vv i/1vv k&iq/1vv,[-R]to /send s.o. on an errand or on an assignment,[-R]/envoyer qqn en mission ou faire une course,,,,.
tiliuq,,1,v,t,,,,,,,si/1vv ri/1vv,[-R]to /advise or /counsel or /urge s.o. to do something,"[-R]/pousser qqn, /conseiller-à qqn, /recommander-à qqn de faire quelque chose",,,,.
tilliq,,1,v,i,,,,,,gi/4vv,,to expect something,s'attendre à qqch.,,,,.
tiluk,,1,v,i,,,,,,nil,,"to beat (trans.: something) in order to remove dirt, lint, snow, etc.","battre (trans.: qqch.) pour enlever la poussière, la saleté, la neige, etc.",,,,.
tima,timi,1,n,,,,,,,,,the landward side,le côté à l'intérieur des terres,,,,.
timautti,,1,v,i,a,,,,,,,to have one's own boots slid down at the heels,avoir les bottes qui descendent aux talons,,,,.
timi,,1,n,,,,,,,,,body of human or animal,corps humain ou animal,,,,.
timirti,,1,n,,zoo,,,,,,,adult male walrus,morse mâle adulte,,,,.
tinaq,,1,v,i,a,,,,,,,to be indifferent,,,,,
tingaujat,,1,n,,bot,p,,,,,,black reindeer moss [Natt.],lichen noir [Natt.],,,,.
tingirraq,,1,v,i,,,,,,,,to boat with a sail,naviguer à la voile,,,,.
tingit,,1,n,,ana,p,,,,,,genital hair,poil pubien,,,,.
tingmi,,1,v,i,,,,,,,,to fly,voler dans les airs,,,,.
tinguk,,1,n,,ana,,,,,,,(1) liver (2) smallest lobe of the liver,(1) foie (2) plus petit lobe du foie,,,,.
tinit,,1,v,i,a,,,,,,,to be low,,,,,
tipaak,,1,n,,,,,,,,,tobacco,tabac,,,,.
tipi,,1,v,i,,,,,,,,to drift into shore or landward by wind or tide,être poussé sur le rivage ou à l'intérieur des terres par le vent ou la marée,,,,.
tipi,tipa,1,n,,,,,,,,,flavour,,,,,
tipsi,,1,v,i,e,,,,gusuk/1vv,gi/4vv,,"to be amusing, funny, comic, laughable","être amusant, drôle, comique, risible",,,,.
tipsik,,1,v,i,a,,,,,,,to be far up in the land,être loin à l'intérieur des terres,,,,.
tiqiaq,,1,n,,,,,,,,,peak of cap,,,,,
tiqittuq,,1,n,,zoo,,,,,,,animal small of its kind,animal de petite taille par rapport à la moyenne de son espèce,,,,.
tiraujat,,1,n,,bot,p,,,,,,black reinder moss [WCHB],lichen noir [côte ouest de la Baie d'Hudson],,,,.
tiri,,1,v,i,e,,,,gusuk/1vv,gi/4vv,,to be supertitious about something,être superstitieux à propos de qqch.,,,,.
tiriaq,,1,n,,zoo,,,,,,,weasel,belette,,,,.
tiriganiaq,,1,n,,zoo,,,,,,,fox,renard,,,,.
tirigluk,,1,n,,zoo,,,,,,,(1) new-born bearded seal or square-flipper (2) month of April,(1) phoque barbu nouveau-né (2) mois d'avril,,,,.
tirik,,1,v,i,,,,,,nil,,to stalk or creep on something (animal),traquer qqch,,,,
tiriksaq,,1,v,t,,,,,,,i/1vv,[T]to put an inner belt on s.o.[P]to be put an inner belt[R]to put on an inner belt,[T]mettre une ceinture intérieure à qqn[P]se faire mettre une ceinture intérieure[R]mettre une ceinture intérieure,,,,.
tiringnak,,1,v,i,,,,,,,,to menstruate - said of a woman,être menstruée (femme),,,,.
tiriqquq,,1,n,,,,,,,,,corner or angle of a square or rectangular object,coin ou angle d'un objet carré ou rectangulaire,,,,.
tirlik,,1,v,i,a,,,,,,,"to be unaware of human beings, of being watched - said of wild creature","être inconscient de la présence humaine, d'être surveillé (animaux sauvages)",,,,.
tirtit,,1,v,i,,,,,,,,to make a sputtering sound in speaking or laughing,faire un bruit de crachotement en parlant ou en riant,,,,.
tirtit,,2,v,t,res,,,,,,si/1vv,to /cook s.t. in grease,,,,,
titaq,,1,v,i,,,,,,,,"to make music, esp. on the accordion","faire de la musique, spécialement à l'accordéon",,,,.
titiq,,1,v,i,,,,,,nil,,"to mark something with a stroke, a sign, etc. with an instrument","marquer (trans.: qqch.) d'un trait, d'un signe avec un instrument",,,,.
titulaaq,,1,v,i,,,,,,,,"to whistle or to blow, as a horn, a whistle, etc.","siffler comme une corne, un sifflet, etc.",,,,.
ttiatna,ttianak,1,e,,,,,,,,,"exclamation: ""like that!"" "" in that manner!""","exclamation: ""Comme ça!"" ",,,,
tuapak,,1,n,,,,,,,,,gravel,,,,,
tuat,,1,v,i,a,,,,,,,to be thin or narrow,être étroit ou mince,,,,.
tuaviq,,1,v,i,,,,,,,,to hurry,,,,,
tubjaq,,1,v,t,,,,,,,si/1vv,[-R]to /track s.o. or s.t.,,,,,
tubvik,,1,v,i,,,,,,,,to cross from more dangerous to less dangerous location,passer d'un endroit plus dangereux à un endroit moins dangereux,,,,.
tugaliaq,,1,n,,,,,,,,,(1) fish cache (2) dwelling made of ice slabs and canvas over the top,(1) cachette à poisson (2) hatitation faite de plaques de glace recouvertes de toiles,,,,.
tuglaq,tugliq,1,v,i,,,,,,,,to wear coverings on one's hair braids - said of a woman,porter quelque chose pour couvrir ses tresses de cheveux (une femme),,,,.
tugli,,1,n,,,,,,,,,to following or preceding (next) of something,suivant,,,,.
tui,,1,n,,ana,,,,,,,shoulder,épaule,,,,.
tujjapik,,1,v,i,,,,,,,,to walk jarringly or blunderingly,marcher maladroitement,,,,.
tujjaq,,1,v,i,,,,,,,,to hurt one's feet on rough terrain - said of dog,se blesser les pattes sur un mauvais terrain (chien),,,,.
tujuq,,1,v,t,,,,,,,i/1vv,"[-R]to send, to bring s.o. something","[-R]envoyer, apporter quelque chose à qqn",,,,.
tujurmi,,1,v,i,,,,,,,,to lodge at another's house temporarily or at a hotel,loger temporairement chez qqn ou à l'hôtel,,,,.
tukaillaa,,1,v,i,,,,,,,,to stretch one's hind legs suddenly or backward - said of quadruped animal,étirer les pattes de derrière soudainement vers l'arrière (un animal à quatre pattes),,,,.
tukatuk,,1,v,i,,,,,,,,to putt or purr - said of internal combustion engine,ronronner (moteur à combustion interne),,,,.
tukatuk,,1,n,,,,,,,,,purr or putt of engine,ronronnement d'un moteur,,,,.
tuki,,1,n,,,,,,,,,(1) meaning (2) order,,,,,
tukiq,,2,v,i,,,,,,,,to break its shell by kicking with one's feet - said of a bird,"briser sa coquille en poussant avec les pieds, en parlant d'un oiseau",,,,.
tukiq,,1,v,t,,,,,,,si/1vv,"[-R]to stamp, stomp, tread, tramp upon s.t., to push s.t., with the sole or bottom of the foot, one time",,,,,
tukku,,1,v,i,,,,,,,,to sleep with someone other that one's wife,dormir avec une autre que sa femme,,,,.
tukkuq,,1,v,i,a,,,,,,,to be generous,être généreux,,,,.
tuksiq,,1,v,i,,,,,,nil,,"to ask, beg, pray (trans.: for something)","demander, supplier, prier (trans.: pour qqch.)",,,,.
tuktu,,1,n,,zoo,,,,,,,arctic caribou,caribou polaire,,,,.
tulaq,,1,v,i,,,,,,,,to bring one's boat ashore,,,,,
tulimaaq,,1,n,,ana,,,,,,,rib (human or animal),côte (humaine ou animale),,,,.
tullik,,1,n,,zoo,,,,,,,kildeer,pluvier kildir,,,,.
tulliq,,1,v,t,,,,,,,i/1vv,[-R]to tread s.t. (snow) such that it is hardened or flattened,"[T]fouler, piétiner qqch. (neige) pour la durcir ou l'aplanir[P]être foulée, piétinée (neige) pour être durcie ou aplanie",,,,.
tulugaq,,1,n,,zoo,,,,,,,raven,corbeau,,,,.
tuluq,,1,v,t,,,,,,,si/1vv,"[-R]to /bump, /knock, /hit s.t. with one's body","[-R]/cogner, /frapper qqch. avec le corps",,,,.
tuluriaq,,1,n,,ana,,,,,,,eye tooth,dent canine chez l'être humain,,,,.
tumi,,1,n,,,,,,,,,track,,,,,
tummaq,,1,v,i,,,,,,,,to have grown together,,,,,
tummaq,,1,n,,,,,,,,,(1) knit bone (2) person with a knit bone,(1) maladie: knit-bone (2) personne avec cette maladie,,,,.
tumniq,,1,n,,,,,,,,,tattoo,tatou,,,,.
tunga,tungi,1,n,,,,,,,,,the near side of something,le côté rapproché de qqch.,,,,.
tunguniq,,1,n,,,,,,,,,dark blue-black or purplish fog,brume foncée bleu-noir ou violacée,,,,.
tunguq,,1,v,i,a,,,,,,,to be purple,être de couleur pourpre,,,,.
tungut,,1,v,i,a,,,,,,,to be exhausted,être exténué,,,,.
tuni,,1,v,t,,,,,,,si/1vv,[-R]to /give s.t. to someone,[-R]/donner qqch. à quelqu'un,,,,.
tuniq,,1,v,t,,,,,,,si/1vv,to /keep promise to s.o.,[T]tenir sa promesse envers qqn [P]être dans l'état où qqn a tenu sa promesse envers soi,,,,.
tuniq,,1,n,,,,,,,,,race of bestial or beast-like men before the Inuit,race d'hommes-bêtes avant les Inuit,,,,.
tunirjuk,,1,n,,ana,,,,,,,sternum,sternum,,,,.
